weather_date,storm_day_before,rain_intensity,max_temp_day,max_rain_day,heat_intensity,average_temp_day,average_rain_day
2017-08-11,1,weak,19.0,1.6,cold,16.68,0.4
2019-07-11,1,no_rain,23.6,0.2,mild,14.99,0.01
2017-07-11,1,no_rain,25.4,0.2,mild,18.68,0.01
2021-06-11,1,no_rain,21.4,0.2,cold,18.47,0.01
2019-06-11,1,no_rain,24.4,0.2,mild,18.72,0.01
2018-06-11,1,no_rain,20.9,0.0,cold,17.69,0.0
2018-05-11,1,no_rain,26.5,0.0,mild,21.26,0.0
2017-05-11,1,no_rain,20.8,0.0,cold,18.92,0.0
2019-04-11,1,no_rain,28.7,0.0,warm,22.22,0.0
2018-04-11,1,no_rain,28.8,0.2,warm,23.09,0.01
2017-04-11,1,heavy,29.8,22.2,warm,24.83,1.4
2019-03-11,1,no_rain,26.8,0.0,mild,23.0,0.0
2017-12-11,1,no_rain,30.4,0.0,warm,24.75,0.0
2021-11-11,1,no_rain,22.1,0.4,mild,20.05,0.02
2020-11-11,1,no_rain,23.9,0.2,heavy_cold,20.06,0.01
2019-11-11,1,heavy,23.3,12.6,mild,21.62,2.27
2016-11-11,1,no_rain,28.4,0.0,warm,22.77,0.0
2019-10-11,1,no_rain,28.4,0.0,warm,22.43,0.0
2018-10-11,1,weak,22.9,1.2,mild,20.46,0.1
2016-10-11,1,no_rain,19.9,0.4,cold,17.81,0.02
2020-09-11,1,no_rain,26.1,0.0,mild,19.47,0.0
2016-08-11,1,no_rain,20.8,0.2,cold,13.77,0.01
2016-07-11,1,no_rain,21.5,0.0,cold,16.85,0.0
2021-05-11,1,no_rain,21.5,0.2,cold,18.95,0.02
2021-03-11,1,no_rain,27.6,0.0,warm,23.36,0.0
2022-02-11,0,no_rain,23.9,0.2,heavy_cold,20.06,0.01
2021-02-11,1,no_rain,28.0,0.0,warm,24.3,0.0
2021-09-10,1,no_rain,22.8,0.2,mild,18.98,0.01
2019-09-10,1,no_rain,26.6,0.2,mild,20.05,0.01
2021-08-10,1,weak,21.7,1.2,cold,18.16,0.05
2018-08-10,1,no_rain,19.5,0.0,cold,15.07,0.0
2017-08-10,1,no_rain,21.6,0.0,cold,16.42,0.0
2019-07-10,1,no_rain,21.4,0.2,cold,14.66,0.01
2017-07-10,1,no_rain,24.2,0.0,mild,19.22,0.0
2021-06-10,1,heavy,22.8,24.6,mild,20.1,1.85
2019-06-10,1,no_rain,23.6,0.2,mild,18.34,0.01
2019-05-10,1,no_rain,25.1,0.0,mild,21.47,0.0
2018-05-10,1,no_rain,25.7,0.2,mild,21.11,0.02
2017-05-10,1,no_rain,22.4,0.2,mild,20.11,0.01
2019-04-10,1,no_rain,26.1,0.0,mild,20.42,0.0
2018-04-10,1,moderate,28.0,6.4,warm,23.22,0.28
2017-04-10,1,weak,26.9,2.2,mild,24.1,0.14
2017-02-10,1,moderate,29.2,4.6,warm,24.97,0.21
2021-11-10,1,no_rain,23.9,0.0,mild,19.96,0.0
2019-11-10,1,moderate,24.3,4.2,mild,22.7,0.42
2017-11-10,1,heavy,26.6,22.2,mild,21.54,1.17
2016-11-10,1,moderate,30.4,4.0,warm,23.56,0.25
2019-10-10,1,no_rain,25.5,0.0,mild,20.69,0.0
2018-10-10,1,weak,26.4,1.2,mild,22.7,0.06
2016-10-10,1,no_rain,21.3,0.0,cold,17.71,0.0
